City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Tynec Nad Sazavou,CZ,52.92,overcast clouds,49.8335,14.5898,Hotel Týnec
Hilo,US,79.23,few clouds,19.7297,-155.09,Dolphin Bay Hotel
Kailua-Kona,US,80.56,clear sky,19.6406,-155.9956,PACIFIC 19 Kona
Kaduy,RU,38.8,overcast clouds,59.2,37.15,Октябрьская
Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Hotel e Pousada Mediterrâneo
Vallenar,CL,73.09,clear sky,-28.5708,-70.7581,Hotel del Marqués
Madang,PG,77.72,overcast clouds,-5.2246,145.7966,Madang Star International
Alaghsas,NE,76.57,broken clouds,17.0187,8.0168,Hôtel Zagado
Cam Pha Mines,VN,71.74,scattered clouds,21.0167,107.3,Hai Yen Luxury Hotel
Zhangye,CN,47.21,clear sky,38.9342,100.4517,Zhangye Hotel 张掖饭店
Luganville,VU,81.75,overcast clouds,-15.5333,167.1667,Beachfront Resort
Tabarka,TN,56.05,scattered clouds,36.9544,8.758,Hôtel Novelty
Mbanza-Ngungu,CD,66.9,light rain,-5.25,14.8667,HOTEL NANI-FILS
Kanggye,KP,36.9,clear sky,40.9695,126.5852,강계인풍려관
Nacala,MZ,71.49,clear sky,-14.5428,40.6728,Indico Apart Hotel 2
Tamanrasset,DZ,66.11,clear sky,22.785,5.5228,فندق الأمان
Tarakan,ID,78.3,few clouds,3.3,117.6333,Hotel Dynasty
Bayindir,TR,52.23,overcast clouds,38.2174,27.6474,Su Otel
Khanty-Mansiysk,RU,35.71,fog,61.0042,69.0019,Гамма
Lezhe,AL,55.85,clear sky,41.7836,19.6436,Hotel Liss
Puerto Lempira,HN,82.26,scattered clouds,15.2667,-83.7667,Hotel Yu Baiwan
Talcahuano,CL,65.88,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
Nicoya,CR,86.95,broken clouds,10.1483,-85.452,Hotel marianela
Castillos,UY,59.45,overcast clouds,-34.1667,-53.8333,A mi gente
La Ronge,CA,39.45,light rain,55.1001,-105.2842,La Ronge Hotel and Suites
Fort St. John,CA,31.89,scattered clouds,56.2499,-120.8529,Northern Lights Inn
Tacuarembo,UY,62.55,overcast clouds,-31.7333,-55.9833,Hotel Carlos Gardel
Sumbe,AO,75.22,moderate rain,-11.2061,13.8437,Hotel Estrela Dourada
Mana,GF,77.63,broken clouds,5.6592,-53.7767,Le Samana
Mahriz,IR,61.41,clear sky,31.5917,54.4318,هتل رستوران شاه عباسی
Port Blair,IN,79.75,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
Holdrege,US,57.25,clear sky,40.4403,-99.3698,Hotel Dale
Kampung Simpang Renggam,MY,77.83,broken clouds,1.8278,103.3,SR INN Hotel (Simpang Renggam)
Karagandy,KZ,53.55,broken clouds,49.8019,73.1021,Аппартаменты Millenium
Vytegra,RU,34.83,scattered clouds,61.0064,36.4481,Старый городъ
Chimbarongo,CL,78.48,clear sky,-34.7,-71.05,Hotel Central
Kuta,ID,80.55,few clouds,-8.7233,115.1723,Ida Hotel Bali
Chake Chake,TZ,79.12,scattered clouds,-5.2459,39.7666,Annex Pemba Hotel
Ruzomberok,SK,41.65,overcast clouds,49.0748,19.3075,Penzión PaRk
Peace River,CA,35.91,overcast clouds,56.2501,-117.286,New Ridge Inn
Souillac,MU,77.38,light rain,-20.5167,57.5167,Hotel SkylineInn
Inyonga,TZ,64.44,light rain,-6.7167,32.0667,Mikumi Lodge
Saint-Pierre,RE,74.88,few clouds,-21.3393,55.4781,Tropic Hotel
Peniche,PT,59.2,broken clouds,39.3558,-9.3811,Rimavier
Puerto Baquerizo Moreno,EC,83.39,scattered clouds,-0.9,-89.6,Irlanda Hospedaje
Callao,PE,75.49,clear sky,-12.0667,-77.15,Inti
Inhambane,MZ,72.05,clear sky,-23.865,35.3833,Hotel de Inhambane
Ambam,CM,68.23,light rain,2.3833,11.2833,Hotel Escapade
Enriquillo,DO,80.62,clear sky,17.9,-71.2333,Hotel Juan José
Mumbwa,ZM,62.58,overcast clouds,-14.9783,27.0619,La Hacienda
Porto Velho,BR,77.05,broken clouds,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
Nadi,FJ,84.2,broken clouds,-17.8,177.4167,President Hotel
El Granada,US,77.52,clear sky,37.5027,-122.4694,Beach House
Sawakin,SD,77.56,clear sky,19.1059,37.3321,Hotel Halfa
Willemstad,CW,84.11,few clouds,12.1084,-68.9335,Bario Hotel & Bar
Tabou,CI,79.99,light rain,4.423,-7.3528,hôtel le rochet
Pampa,US,66.24,clear sky,35.5362,-100.9599,AmericInn
Zhirnovsk,RU,48.96,broken clouds,50.9845,44.7735,Жирновск
Mermoz Boabab,SN,74.98,clear sky,14.7065,-17.4758,eximar immo dakar hotel
Monkey Bay,MW,72.93,clear sky,-14.0728,34.9201,Chimanga Resthouse
Priozersk,RU,36.95,overcast clouds,61.0393,30.1291,Корела
Malango,ID,65.75,overcast clouds,-2.9627,119.9001,Madarana
Karagay,RU,39.83,overcast clouds,58.2667,54.9368,Гостиница
Las Vegas,US,79.12,clear sky,36.175,-115.1372,El Cortez Hotel and Casino
Flying Fish Cove,CX,78.48,light rain,-10.4217,105.6791,Christmas Island Lodge
Flin Flon,CA,42.64,broken clouds,54.7682,-101.865,Copperbelt Hotel
Tucupita,VE,77.9,overcast clouds,9.0622,-62.051,Tucupita Suite
Walla Walla,US,69.67,clear sky,46.0646,-118.343,Marcus Whitman Hotel
Barnstable,US,43.03,broken clouds,41.7001,-70.2995,Ashley Manor
As Samawah,IQ,65.59,clear sky,31.332,45.2944,فندق قصر الغدير
General Conesa,AR,60.12,clear sky,-40.1,-64.4333,Gran Hotel Conesa
Pierre,US,47.86,few clouds,44.3683,-100.351,Quality Inn
Ingeniero Jacobacci,AR,59.58,few clouds,-41.3427,-69.5448,Gran Hotel Argentino
Victorica,AR,61.09,clear sky,-36.2151,-65.4359,Hotel Mazamet
Kitakata,JP,55.56,overcast clouds,37.65,139.8667,笹屋旅館
Gremda,TN,55.6,scattered clouds,34.75,10.7833,Business Hotel Sfax
Loango,CG,82.06,scattered clouds,-4.6719,11.8312,Hotel des Aigles
Malvan,IN,78.85,scattered clouds,16.0667,73.4667,Hotel Silver Sand
Jacmel,HT,80.67,light rain,18.2342,-72.5347,Hotel L'Amenitie
Molde,NO,40.84,few clouds,62.7375,7.1591,Hotell Molde
Trincomalee,LK,79.54,overcast clouds,8.5711,81.2335,Summer set inn
Toulepleu Guere,CI,77.04,broken clouds,6.574,-8.4259,Hôtel Le Pharaon
Kuhmo,FI,31.32,scattered clouds,64.1333,29.5167,Hotelli Kainuu
Las Heras,AR,58.68,clear sky,-46.5419,-68.9359,Posadas del Sur
Beira,MZ,78.89,few clouds,-19.8436,34.8389,Hotel Savoy
Sunggal,ID,76.98,scattered clouds,3.5765,98.6151,OYO 1585 Ring Road Residence
Carloforte,IT,53.71,clear sky,39.145,8.3058,Hotel Riviera
Lepsy,KZ,58.51,overcast clouds,46.235,78.9456,Orley
Humaita,BR,79.2,overcast clouds,-7.5061,-63.0208,Humaita Quality Hotel
Paita,PE,77.05,broken clouds,-5.0892,-81.1144,Victor's
Parkersburg,US,83.01,broken clouds,39.2667,-81.5615,Blennerhassett Hotel
General Levalle,AR,57.36,overcast clouds,-34.0147,-63.9241,Hotel Glasgow
George Town,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
Miri,MY,78.94,few clouds,4.4148,114.0089,The Stirling Suites Hotel & Serviced Apartment
Mwingi,KE,69.96,broken clouds,-0.9344,38.0601,Greenvast Hotel
Remire-Montjoly,GF,78.84,overcast clouds,4.9167,-52.2667,Complexe Belova
Nago,JP,65.91,moderate rain,26.5881,127.9761,グリーンリッチホテル
Dapaong,TG,89.96,broken clouds,10.8639,0.205,La Residenze
Mount Isa,AU,71.37,few clouds,-20.7333,139.5,Ibis Styles
